sample_index,EXG_CH0,EXG_CH1,EXG_CH2,EXG_CH3,Accel_X,Accel_Y,Accel_Z,timestamp,marker,time_s
0.0,-21.656514472734436,-0.4027658658014368,-0.7766933481145912,0.004476340833922628,0.0,0.0,0.0,2026-04-16 21:09:29.478,0.0,0.0
1.0,-24.018133882618592,-1.2895675495945678,-2.6250151957554952,1.7900182831788196,0.0,0.944000044837594,0.0,2026-04-16 21:09:29.479,0.0,0.005
1.0,-20.105663543089474,0.557093878050442,-0.8700742989762973,5.126243425002183,0.0,0.944000044837594,0.0,2026-04-16 21:09:29.479,0.0,0.01
2.0,-22.45505004392396,-2.9192927069197516,3.395241256239746,0.12855667037644986,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.509,0.0,0.015
2.0,-19.29825145762932,-6.123508094316167,4.370577782259272,2.575815169063237,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.509,0.0,0.02
3.0,-26.720025532129377,-1.4535212897734167,1.0185301218867124,1.2978024072381706,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.509,0.0,0.025
3.0,-25.628267481042922,-3.2359521899190598,3.2656569921930423,3.9839450115216106,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.509,0.0,0.03
4.0,-21.852237351750226,-7.698859592281101,1.0549352238926468,6.694276255416772,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.509,0.0,0.035
4.0,-21.771522757956603,-5.77843009639022,1.9068569828260757,0.8885775907395832,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.509,0.0,0.04
5.0,-12.799205682301102,-2.6778282209718,4.864609731773308,0.8194247915708025,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.510,0.0,0.045
5.0,-8.814898584521178,1.119056833068369,5.016815975826687,1.6802474192472487,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.510,0.0,0.05
6.0,-8.547810709347884,3.1580795315841095,4.0441289309409285,3.696002929603851,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.537,0.0,0.055
6.0,-10.857218550678137,0.8910328383685633,-1.73896389419529,5.66105181383104,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.537,0.0,0.06
7.0,-8.561751531419189,-0.24242232981007616,1.3142335275680668,2.810792071241159,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.538,0.0,0.065
7.0,-10.21722534061535,0.7676698528816893,3.134437219044044,0.5136466033683136,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.539,0.0,0.07
8.0,-8.851396095917409,0.28809692635397144,-0.38200678552585177,1.8718551758044806,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.568,0.0,0.075
8.0,-7.024060805578345,2.5746037742581573,0.9617055725474971,3.5645848043476103,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.568,0.0,0.08
9.0,-8.457463905443449,2.638523712417986,0.2765233368883289,3.9138900996959602,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.569,0.0,0.085
9.0,-1.2223255927691379,2.7495236096752054,1.2693906022745138,0.9685562139630635,-0.0320000015199184,0.944000044837594,0.0,2026-04-16 21:09:29.569,0.0,0.09
10.0,-1.449176037119022,1.3117635543544055,2.810163675160773,1.6777239882423678,-0.0320000015199184,0.944000044837594,0.1760000083595514,2026-04-16 21:09:29.569,0.0,0.095
10.0,1.8211028796837256,-1.6664152595926032,-1.2208562778778076,2.9000257199584847,-0.0320000015199184,0.944000044837594,0.1760000083595514,2026-04-16 21:09:29.569,0.0,0.1
